,tweet,date,Same day stock closing price,Next day stock open price,Daily change
46,"['torybruno', 'good', 'chart', 'this', 'major', 'reason', 'move', 'starlink', '1100km', 'orbit', '550km', 'atmosphere', 'automatically', 'clear', 'low', 'altitude', 'within', 'year', 'space', 'junk', 'can', 'not', 'accumulate']",2021-06-23,656.57,674.99,2.81%
47,"['thanks', 'happy', 'birthday', 'wish']",2021-06-28,688.72,684.65,-0.59%
48,"['torybruno', 'dynetics', 'should', 'i', 'bring', 'spare', 'engine', 'i', 'mean', 'case', 'torybruno', 'dynetics', 'sure', 'passionflix', 'toscamusk', 'i', 'like', 'movie', 'hollywood', 'dirt', 'nextspaceflight', 'there', 'internal', 'goal', 'thing', 'go', 'right', 'need', 'aggressive', 'obviously', 'thing', 'go', 'right', 'internally', 'amp', 'external', 'issue', 'that', 'say', 'i', 'think', 'stack', 'orbital', 'ship', 'orbital', 'booster', 'july', 'torybruno', 'dynetics', 'when', 'engine', 'arrive', 'spacex', 'unfortunately', 'launch', 'call', 'today', 'aircraft', 'enter', 'keep', 'zone', 'unreasonably', 'gigantic', 'there', 'simply', 'way', 'humanity', 'become', 'spacefaring', 'civilization', 'without', 'major', 'regulatory', 'reform', 'the', 'current', 'regulatory', 'system', 'broken', 'spacex', 'sonic', 'boom', 'incoming', 'https', 'co', 'jwaya0j5xx', 'iihs', 'autosafety', 'top', 'safety', 'pick', 'iihs', 'that', 'high', 'overall', 'rating', 'think', 'get', 'max', 'score', 'subcategories', 'individual', 'test', 'retesting', 'month', 'improve', 'software', 'the', 'improve', 'software', 'uploaded', 'car', 'fsd', 'computer']",2021-06-29,680.76,679.77,-0.15%
49,"['wholemarsblog', 'yeah', 'thesheetztweetz', 'work', 'need', 'flight', 'less', 'amp', 'less', 'show', 'shortening', 'time', 'reflights', 'require', 'work', 'flight', 'starship', 'amp', 'super', 'heavy', 'zero', 'ezebroni', 'wholemarsblog', 'you', 'notice', 'several', 'improvement', 'rapidly', 'reusable', 'rocket', 'r', 'r', 'r', 'erdayastronaut', 'we', 'already', 'do', 'lot', 'iteration', 'ship', 'for', 'rapid', 'reusability', 'booster', 'must', 'return', 'launchpad', 'inert', 'mass', 'impact', 'ascent', 'boostback', 'amp', 'land', 'burn', 'triple', 'whammy', 'also', 'booster', 'flight', 'rate', '5x', 'ship', 'multiple', 'mass', 'cost', '5', 'renatakonkoly', 'erdayastronaut', 'first', 'one', 'fly', 'booster', '4', 'booster', '3', 'use', 'ground', 'test', 'we', 'change', 'much', 'design', '3', '4', 'booster', '3', 'hard', 'build', 'expect', 'especially', 'rapid', 'evolution', 'first', '10', 'booster', 'amp', 'first', '30', 'ship', 'erdayastronaut', 'great', 'shot', 'btw', 'starship', 'super', 'heavy', 'entry', 'burn', 'delta', 'v', 'shift', 'ship', 'booster', 'entry', 'q', 'amp', 'heat', 'low', 'ppathole', 'tesla', 'spacex', 'basic', 'mri', 'easy', 'sound', 'good', 'tbh', 'high', 'resolution', 'mri', 'short', 'time', 'weak', 'magnetic', 'field', 'hard', 'weezilla', 'spacepadreisle', 'actually', 'almost', '80', 'liquid', 'oxygen']",2021-06-30,679.7,683.92,0.62%
50,"['angelndevil2', 'torybruno', 'what', 'well', 'understood', 'ula', 'still', 'monopoly', 'carve', 'u', 'government', 'launch', 'spacex', 'allow', 'compete', 'cost', 'taxpayer', 'twice', 'much', 'per', 'launch', 'this', 'obviously', 'real', 'competition', 'torybruno', 'your', 'company', 'say', 'exact', 'opposite', '2014', 'get', 'sole', 'source', 'uncompeted', '11b', 'dod', 'launch', 'contract', 'https', 'co', 'abd5swhzdt', 'in', 'event', 'expendable', 'rocket', 'relevant', 'future', 'expendable', 'aircraft', 'rapidly', 'reusable', 'rocket', 'matter', 'sciguyspace', 'true', 'thesheetztweetz', 'will', 'look', 'pretty', 'wild', 'ship', 'top', 'super', 'heavy', 'road', 'amp', '7th', 'tower', 'segment', 'add', 'http', 'co', 'sjiha3blhl']",2021-07-01,677.92,678.98,0.16%
51,"['http', 'co', 'tqz9qvcwh1', 'lexfridman', 'douglas', 'adam', 'ftw']",2021-07-06,659.58,664.27,0.71%
52,"['ezebroni', 'tesla', 'expect', 'rapid', 'improvement', 'pure', 'vision', 'tesmanian', 'com', 'nikola', 'tesla', 'bear', 'croatia', 'serbian', 'parent', 'tobyliiiiiiiiii', 'chrisg', 'nsf', 'djsnm', 'yes', 'teslaownersde', 'and', '2060', 'tesla', 'production', 'exceed', 'mass', 'universe', 'chrisg', 'nsf', 'djsnm', 'yeah', 'would', 'cool', 'also', 'use', 'ship', 'structure', 'new', 'giant', 'telescope', 'gt', '10x', 'hubble', 'resolution', 'be', 'talk', 'saul', 'perlmutter', 'awesome', 'amp', 'suggest', 'want', 'supersonic', 'shock', 'wave', 'https', 'co', 'o3bgafumdo', 'djsnm', 'we', 'could', 'stretch', 'falcon', 'heavy', 'upper', 'stage', 'amp', 'increase', 'lot', 'fh', 'already', 'cover', 'known', 'payload', 'starship', 'especially', 'orbital', 'refill', 'amp', 'dedicate', 'deep', 'space', 'variant', 'heatshield', 'flaps', 'header', 'tank', 'take', 'order', 'magnitude', 'ppathole', 'spacex', 'absolutely', 'staggeringly', 'insane', 'amount', 'work', 'high', 're', 'land', 'falcon', 'land', 'video', 'http', 'co', '8cpuh87jyv', 'jeff', 'foust', 'accurate', 'show', 'falcon', 'heavy', 'address', 'use', 'case', 'weddleandsons', 'tesla', 'work', 'weddle', 'son', 'roof', 'great', 'collaboration', 'accelerate', 'tesla', 'solar', 'roof', 'installation', 'this', 'lot', 'work', 'ten', 'million', 'home', 'need', 'solar', 'roof', 'if', 'roofing', 'company', 'please', 'consider', 'add', 'solar', 'roof', 'offering']",2021-07-07,644.65,628.37,-2.53%
53,"['maybe', 'movie', 'gaslit', 'u', 'listen', 'history', 'english', 'podcast', 'tropic', 'thunder', 'good', 'gas', 'lit', 'gas', 'light', 'whatsupfranks', 'flcnhvy', 'that', 'impression', 'travel', 'another', 'planet', 'amp', 'build', 'self', 'sustain', 'city', 'faint', 'heart', 'consider', 'sad', 'case', 'chad', 'rip', 'http', 'co', 'dhxgi65pkg', 'elonardom', 'wholemarsblog', 'frenchieeap', 'kimpaquette', '28delayslater', 'aidrivr', 'gfilche', 'hyperchangetv', 'teslaownerssv', 'rationaletienne', 'flcnhvy', 'but', 'also', 'https', 'co', 't6r07qvql6', 'flcnhvy', 'this', 'http', 'co', 'kxnyf6rdqs', 'dogeofficialceo', 'newscientist', 'kinda', 'true', 'dogeofficialceo', 'newscientist', 'newscientist', 'cartesian', 'duelist', 'ccanonne', 'haha', 'wholemarsblog', 'i', 'sometimes', 'optimistic', 'schedule', 'newscientist', 'this', 'sound', 'like', 'potential', 'go', 'wrong', 'amp', 'i', 'refer', 'reuse', 'code', 'erdayastronaut', 'true']",2021-07-08,652.81,653.18,0.06%
54,"['owensparks', 'jeremyjudkins', 'haha', 'buzz', 'corp', 'make', 'buzzword', 'ercxspace', 'kimpaquette', 'interest', 'idea', 'kimpaquette', 'not', 'yet', 'it', 'need', 'full', 'self', 'drive', 'cleantechnica', 'opp', 'http', 'co', 'muzdxkduxz', 'jeremyjudkins', 'corporate', 'speak', 'human', 'ambien', 'greg16676935420', 'it', 'true', 'x', 'toddler', 'hodler', 'never', 'say', 'sell', 'antoniogm', 'flcnhvy', 'exactly']",2021-07-12,685.7,686.32,0.09%
55,"['younietyler', 'astro', 'g', 'dogg', 'booster', 'half', 'cost', 'mission', 'fair', '10', 'bluewalletio', 'any', 'money', 'transmitter', 'license', 'need', 'use', 'usa', 'astro', 'g', 'dogg', 'take', 'work', 'make', 'f9', 'booster', 'reuse', 'cost', 'effective', 'go', 'recover', 'first', 'place', 'this', 'important', 'point', 'thing', 'finally', 'click', 'place', 'block', '5', 'my', 'hat', 'everyone', 'spacex', 'nasa', 'space', 'force', 'faa', 'amp', 'supplier', 'help', 'make', 'happen', 'kale6360gmail', 'i', 'actually', '3000', 'year', 'old', 'risk', 'immodest', 'i', 'think', 'i', 'look', 'good', 'even', '2500', 'year', 'still', 'original', 'chariot', 'license', 'papyrus']",2021-07-13,668.54,670.75,0.33%
56,"['review', 'model', 's', 'plaid', 'dan', 'neil', 'http', 'co', 'jy45vn8jnn', 'flcnhvy', 'yeah', 'some', 'light', 'read', 'lil', 'x', 'http', 'co', 'mhj4gtypdo', 'samtwits', 'teslaownersebay', 'kristennetten', 'rationaletienne', 'evafoxu', 'johnnacrider1', 'teslachillmode', 'codingmark', 'model3owners', 'wholemarsblog', 'austinteslaclub', 'due', 'lack', 'bang', 'civilization', 'might', 'end', 'whimper', 'adult', 'diaper', 'sale', 'growth', 'much', 'high', 'baby', 'diaper', 'sale', 'growth', 'https', 'co', 'eyk3njnf6s', 'samtwits', 'teslaownersebay', 'kristennetten', 'rationaletienne', 'evafoxu', 'johnnacrider1', 'teslachillmode', 'codingmark', 'model3owners', 'wholemarsblog', 'austinteslaclub', 'this', 'major', 'problem', 'between', 'civilization', 'end', 'bang', 'whimper', 'trend', 'suggest', 'latter', 'isro', 'congratulation', 'michilumin', 'billym2k', '48', '61', '68', '61', '20', '74', '72', '75', '65', 'doge', 'southern', 'samtwits', 'teslaownersebay', 'kristennetten', 'rationaletienne', 'evafoxu', 'johnnacrider1', 'teslachillmode', 'codingmark', 'model3owners', 'wholemarsblog', 'austinteslaclub', 'next', 'baby', 'girl', 'doge', 'southern', 'samtwits', 'teslaownersebay', 'kristennetten', 'rationaletienne', 'evafoxu', 'johnnacrider1', 'teslachillmode', 'codingmark', 'model3owners', 'wholemarsblog', 'austinteslaclub', 'me', 'teslaownersebay', 'kristennetten', 'rationaletienne', 'evafoxu', 'johnnacrider1', 'teslachillmode', 'codingmark', 'model3owners', 'wholemarsblog', 'austinteslaclub', 'i', 'try', 'set', 'good', 'example', 'population', 'collapse', 'much', 'big', 'problem', 'people', 'realize', 'earth', 'mar', 'great', 'need', 'people', 'see', 'population', 'currently', 'zero', 'human', 'custodians', 'life', 'earth', 'let', 'u', 'bring', 'life', 'mar', 'preachy', 'spice', 'it', 'richard', 'rental', 'house', 'overall', 'great', 'i', 'agree', 'regard', 'cabinet', 'haha', 'this', '3am', 'day', 'flight', 'wasn', 'expect', 'brutal', 'pic', 'post', 'oh', 'well', 'waitbutwhy', 'indeed', 'sigh']",2021-07-14,653.38,658.39,0.77%
57,"['aarons5', 'frenchieeap', 'karpathy', 'yes', 'frenchieeap', 'karpathy', 'fsd', 'beta', '9', 'use', 'pure', 'vision', 'production', 'code', 'highway', 'drive', 'beta', '10', 'hopefully', 'beta', '11', 'definitely', 'use', 'one', 'stack', 'rule', 'city', 'streets', 'highway', 'amp', 'complex', 'park', 'lot', 'erdayastronaut', 'model3owners', 'how', 'wifi', 'camera', 'link', 'blkmdl3', 'model3owners', 'in', 'end', 'kept', 'production', 'design', 'almost', 'exactly', 'show', 'car', 'just', 'small', 'tweak', 'amp', 'make', 'slightly', 'good', 'no', 'door', 'handle', 'car', 'recognize', 'amp', 'open', 'door', 'have', 'four', 'wheel', 'steer', 'amaze', 'nimble', 'handle', 'amp', 'tight', 'turn', 'johnkrausphotos', 'spacex', 'portcanaveral', 'version', '3', 'spacex', 'droneship', 'team', 'great', 'work', 'will', 'epic', 'see', 'deep', 'sea', 'oil', 'rig', 'convert', 'ocean', 'spaceports', 'starship', 'model3owners', 'to', 'frank', 'always', 'chance', 'cybertruck', 'flop', 'unlike', 'anything', 'else', 'i', 'care', 'i', 'love', 'much', 'even', 'others', 'other', 'truck', 'look', 'like', 'copy', 'thing', 'cybertruck', 'look', 'like', 'make', 'alien', 'future', 'teslatino', 'klwtts', 'jpr007', 'taper', 'charge', 'rate', 'simply', 'physical', 'thing', 'happen', 'lithium', 'ion', 'bounce', 'around', 'increasingly', 'full', 'parking', 'lot', 'just', 'like', 'car', 'parking', 'lot', 'take', 'long', 'find', 'spot', 'lot', 'almost', 'full']",2021-07-15,650.6,654.68,0.63%
58,"['jack', 'bitcoinmagazine', 'cathiedwood', 'sure', 'i', 'ton', 'bitcoinmagazine', 'jack', 'cathiedwood', 'during', 'talk', 'sing', 'cover', 'the', 'final', 'countdown', 'europe', 'https', 'co', '7yuxiw8dhd']",2021-07-19,646.22,651.99,0.89%
59,"['aarons5', 'teslatino', 'over', 'time', 'country', 'blueorigin', 'congrats', 'teslatino', 'we', 'create', 'connector', 'standard', 'back', 'amp', 'tesla', 'maker', 'long', 'range', 'electric', 'car', 'it', 'one', 'fairly', 'slim', 'connector', 'low', 'amp', 'high', 'power', 'charge', 'that', 'say', 'make', 'supercharger', 'network', 'open', 'ev', 'later', 'year']",2021-07-20,660.5,659.61,-0.13%
60,"['therationalroot', 'seriously', 'negative', 'nominal', 'interest', 'rate', 'what', 'world', 'come', 'delta', 'v', 'but', 'much', 'important', 'design', 'capable', 'full', 'amp', 'rapid', 'reusability', 'long', 'way', 'go', 'design', 'make', 'actually', 'fully', 'amp', 'rapidly', 'reusable', 'high', 'payload', 'least', 'success', 'one', 'possible', 'outcome', 'haha', 'model3owners', 'dry', 'electrode', 'key', 'piece', 'one', 'many', 'piece', 'puzzle', 'lower', 'cost', 'lithium', 'battery', 'that', 'say', 'require', 'immense', 'amount', 'engineering', 'take', 'maxwell', 'proof', 'concept', 'high', 'quality', 'volume', 'production', 'amp', 'still', 'quite', 'do', 'model3owners', 'ironic', 'indeed', 'i', 'one', 'point', 'go', 'phd', 'stanford', 'high', 'energy', 'density', 'capacitor', 'use', 'electric', 'vehicle', 'but', 'lithium', 'ion', 'cover', 'even', 'advance', 'lithium', 'ion', 'technology', 'possible', 'transition', 'earth', 'sustainable', 'energy']",2021-07-21,655.29,656.44,0.18%
61,"['teslaownerssv', 'alexsvanart', 'neopork85', 'flight', 'test', 'show', 'could', 'make', 'body', 'flap', 'narrower', 'amp', 'light', 'austinteslaclub', 'roschetzkyp', 'tesla', 'teslany', 'teslaownersebay', 'teslaforthe', 'win', 'jchybow', '1stmarscolonist', 'evafoxu', 'heydave7', 'gailalfa1', 'also', 'last', 'much', 'long', 'normal', 'roof', 'amp', 'able', 'withstand', 'hail', 'amp', 'medium', 'size', 'impact']",2021-07-22,649.26,646.36,-0.45%
62,"['gfilche', 'ship', 'probably', 'fine', 'iron', 'cell', 'aircraft', 'need', 'high', 'energy', 'density', 'good', 'range', 'i', 'say', 'tesla', 'aircraft', 'hand', 'full', 'car', 'amp', 'solar', 'battery', 'power', 'generation', 'max', 'energy', 'density', 'need', 'aircraft', 'djsnm', 'indeed']",2021-07-26,657.62,663.4,0.88%
63,"['troyrubert', 'samtwits', 'engineer', 'fee', 'i', 'already', 'chew', 'much', 'glass', 'i', 'chipmunk', 'cheek', 'samtwits', 'engineer', 'fee', 'i', 'die', 'supersonic', 'vtol', 'electric', 'jet', 'but', 'i', 'already', 'way', 'much', 'plate', 'any', 'work', 'brain', 'explode', 'dimazeniuk', 'truth', 'tesla', 'that', 'low', 'bar', 'carmaker', 'never', 'value', 'software', 'engineering', 'highly', 'although', 'vw', 'try', 'change', 'i', 'personally', 'write', 'software', '20', 'year', 'amp', 'huge', 'respect', 'software', 'engineer', 'tesla', 'par', 'best', 'software', 'company', 'amp', 'leader', 'real', 'world', 'ai', 'truth', 'tesla', 'tesla', 'software', 'team', 'excellent', 'even', 'compare', 'best', 'software', 'company', 'this', 'big', 'deal', 'car', 'much', 'computer', 'wheel']",2021-07-27,644.78,647.0,0.34%
64,"['sawyermerritt', 'at', 'point', 'count', 'atom', 'amp', 'dispense', 'nm', 'heydave7', 'we', 'many', 'bitcoin', 'close', 'nicansuini', 'watcherstank', 'labpadre', 'congrats', 'spacex', 'tower', 'team', 'amp', 'support', 'contractor', 'djsnm', 'orbital', 'precession', 'take', 'long', 'time', 'with', 'starship', 'amp', 'starlink', 'v2', '0', 'hopefully', 'direct', 'inject', 'target', 'orbit']",2021-07-28,646.98,649.79,0.43%
65,"['rationaletienne', 'thesheetztweetz', 'brycespacetech', 'spacex', 'roscosmos', 'arianespace', 'arianegroup', 'northropgrumman', 'rocketlab', 'ulalaunch', 'virginorbit', 'torybruno', 'mass', 'orbit', 'fundamental', 'metric', 'make', 'life', 'multiplanetary', 'thesheetztweetz', 'brycespacetech', 'spacex', 'roscosmos', 'arianespace', 'arianegroup', 'northropgrumman', 'rocketlab', 'ulalaunch', 'virginorbit', 'torybruno', 'upmass', 'matter', 'one', 'starship', 'lift', 'falcon', 'q2', 'single', 'flight', 'archeohistories', 'wow', 'austinbarnard45', 'indeed', 'giant', 'mosquito', 'around', 'djsnm', 'so', 'many', 'tube', 'erdayastronaut', 'raptor', 'v2', '0', 'major', 'improvement', 'simplication', 'also', 'increase', 'thrust', '185', 'ton', '230', 'ton', 'long', 'term', 'goal', 'engine', 'cost', '1000', 'ton', 'thrust', 'erdayastronaut', 'and', 'primary', 'fuel', 'line', 'the', 'maze', 'secondary', 'plumbing', 'amp', 'wire', 'great', 'concern', 'jaydev', 'chauhan', 'yeah', 'spacex', 'team', 'crank', 'hard', 'fragdemented', 'i', 'mean', 'course', 'complete', 'feed', 'system', '29', 'raptor', 'rocket', 'engine', 'super', 'heavy', 'booster', 'http', 'co', 'uarwx2hytr', 'austinteslaclub', 'tesla', 'futurejurvetson', 'teslaforthe', 'win', 'teslany', 'evafoxu', 'co', 'tesla', 'gf4tesla', 'bentv', 'sh', 'gailalfa1', 'feel', 'long', 'ago', 'ajtourville', 'lexfridman', 'haha', 'true', 'i', 'talk', 'friend', 'electric', 'car', 'constantly', 'college', 'peter', 'j', 'beck', 'congrats', 'rogozin', 'congratulation']",2021-07-29,677.35,671.76,-0.83%
66,"['stem', 'fee', 'that', 'right', 'civilization', 'power', 'small', 'earth', 'solar', 'panel', 'teslarati', 'klenderjoey', 'hard', 'believe', '15', 'year', 'already', 'those', 'goal', 'actually', 'precede', 'creation', 'tesla', 'many', 'year', 'go', 'back', 'probably', '1992', 'i', 'college', 'however', 'time', 'i', 'think', 'chance', 'achieve', 'goal', 'low', 'renatakonkoly', 'jonerlichman', 'i', 'ask', 'reporter', 'i', 'optimistic', 'pessimistic', 'spacex', 'future', 'that', 'answer', 'jonerlichman', '2008', 'extremely', 'tough', 'year', 'every', 'level', 'tesla4k', 'matanmazursky', 'it', 'difficult']",2021-08-02,709.67,719.0,1.31%
67,"['ppathole', 'mar', 'look', 'amazing', 'erdayastronaut', 'ercxspace', 'we', 'steal', 'idea', 'karate', 'kid', 'flcnhvy', 'pitch', 'control', 'require', 'force', 'yaw', 'amp', 'much', 'force', 'roll', 'also', 'grid', 'fin', 'closer', 'wake', 'booster', 'less', 'effective', 'however', 'pretty', 'good', 'aero', 'control', 'technically', 'achieve', '2', 'grid', 'fin', 'effect', 'accuracy', 'teslafruit', 'thank', 'sandy', 'http', 'co', 'nnjhpiehcz', 'super', 'heavy', 'booster', 'move', 'orbital', 'launch', 'mount', 'https', 'co', 'axadnxnm84', 'ercxspace', 'very', 'close', 'real', 'arm', 'able', 'move', 'descent', 'match', 'exact', 'booster', 'position', 'catch', 'point', 'side', 'case', 'catch', 'fails', 'want', 'hit', 'launch', 'mount', 'booster', 'transfer', 'back', 'launch', 'mount', 'next', 'flight', 'design', 'lt', '1', 'hour', 'turnaround']",2021-08-03,709.74,711.0,0.18%
68,"['id', 'aa', 'carmack', 'i', 'great', 'admiration', 'john', 'engineering', 'ability', 'what', 'armadillo', 'incredible', 'i', 'try', 'convince', 'many', 'time', 'join', 'spacex', 'always', 'decline', 'sigh', 'mechazilla', 'future', 'rocket', 'quite', 'ready', 'yet', 'move', 'rocket', 'orbital', 'launch', 'pad', 'http', 'co', 'zzlixipd6m']",2021-08-04,710.92,716.0,0.71%
69,"['chrisdungeon', 'reality', 'total', 'opposite', 'detractor', 'say', 'big', 'challenge', 'recruit', 'enough', 'people', 'build', 'car', 'sf', 'bay', 'area', 'essentially', 'negative', 'unemployment', 'people', 'factory', 'several', 'job', 'offer', 'if', 'treat', 'well', 'would', 'leave', 'immediately', 'techvamp', 'once', 'mechazilla', 'operational', 'wind', 'rarely', 'issue', 'b280c', '2', 'wind', 'high', 'today', 'look', 'like', 'wind', 'speed', 'low', 'enough', 'stack', 'early', 'tomorrow', 'morning', 'nicansuini', 'remain', 'tile', 'way', 'arctechinc', 'potus', 'irony', 'indeed', '28delayslater', 'aim', 'stack', 'ship', 'booster', 'today', 'https', 'co', '67ehwti57v', 'squawkcnbc', 'secretarypete', 'http', 'co', '51brgaaots']",2021-08-05,714.63,711.9,-0.38%
70,"['sciguyspace', 'believe', 'future']",2021-08-09,713.76,713.99,0.03%
71,"['lrocket', 'thesheetztweetz', 'yeah', 'cleantechnica', 'important', 'bear', 'mind', 'production', 'fast', 'slow', 'part', '10', '000', 'unique', 'part', 'car']",2021-08-10,709.99,712.71,0.38%
72,"['teslarati', 'klenderjoey', 'i', 'recommend', 'get', 'first', 'plant', 'work', 'it', 'insanely', 'difficult', 'reach', 'volume', 'production', 'affordable', 'unit', 'cost', 'teslarati', 'residentsponge', 'it', 'gon', 'na', 'awesome', 'erdayastronaut', 'yup']",2021-08-11,707.82,706.34,-0.21%
73,"['jefftutorials', 'the', 'stay', 'power', 'bad', 'idea', 'astonish', 'wapodavenport', 'note', 'refill', 'refuel', '78', 'propellant', 'liquid', 'oxygen', '22', 'fuel']",2021-08-12,722.25,723.71,0.20%
74,"['erdayastronaut', 'caspar', 'stanley', 'no', 'bottom', 'static', 'aero', 'push', 'engine', 'section', 'back', 'counteract', 'starship', 'low', 'center', 'mass', 'reentry', 'cause', 'engine', 'section', 'aim', '60', '70', 'deg', 'angle', 'attack', 'high', 'heat', 'portion', 'flight', 'don', 'want', 'reenter', 'engine', 'blast', 'plasma', 'zone', 'astronomy', 'low', 'center', 'mass', 'bit', 'like', 'ship', 'amp', 'booster', 'reentry', 'gerberkawasaki', 'same', 'adamhoov', 'engineer', 'fee', 'erdayastronaut', 'caspar', 'stanley', 'probably', 'slightly', 'forward', 'small', 'inward', 'no', 'funny', 'look', 'static', 'aero', 'top', 'static', 'aero', 'longer', 'directly', 'flow']",2021-08-18,688.99,678.21,-1.56%
75,"['our', 'license', 'application', 'pending', 'many', 'country', 'hop', 'serve', 'earth', 'soon', 'optimoprincipi', 'ancient', 'doge', 'now', 'serve', '100k', 'terminal', 'ship', 'https', 'co', 'q1vvqvmj2i', 'nine', 'ring', 'mortal', 'men', 'wholemarsblog', 'jimfarley98', 'mrlevine', 'fsd', 'beta', '9', '2', 'actually', 'great', 'imo', 'autopilot', 'ai', 'team', 'rally', 'improve', 'fast', 'possible', 'we', 'try', 'single', 'stack', 'highway', 'amp', 'city', 'street', 'require', 'massive', 'nn', 'retrain', 'the', 'gun', 'august', 'http', 'co', 'm7j2sjvnit', '28delayslater', 'ppathole', 'spacex', 'it', 'basically', 'plot', 'fallout', 'new', 'vega', 'teslagong', 'ppathole', 'spacex', 'there', 'profound', 'difference', 'single', 'planet', 'amp', 'multiplanet', 'specie', 'if', 'able', 'visit', 'star', 'one', 'day', 'may', 'discover', 'many', 'long', 'dead', 'single', 'planet', 'civilization', 'ppathole', 'spacex', 'to', 'extend', 'light', 'consciousness']",2021-08-23,706.3,710.68,0.62%
76,"['spacexmr', 'model3owners', 'nothing', 'perfect', 'haha', '28delayslater', 'it', 'amazing', 'standard', 'aim', '1000', 'safe', 'average', 'human', 'driver', 'rgvaerialphotos', 'spacex', 'can', 'wait', 'new', 'high', 'bay']",2021-08-24,708.49,707.03,-0.21%
77,"['teslatruckclub', 'nice', 'f9block5', 'we', 'beta', '10', 'go', 'week', 'friday', 'point', 'release', 'week', 'it', 'completely', 'retrain', 'nn', 'need', 'another', 'week', 'tune', 'amp', 'bug', 'fix', 'best', 'guess', 'public', 'beta', 'button', '4', 'week', 'https', 'co', 'lwg9ke6cjp']",2021-08-25,711.2,708.31,-0.41%
78,"['sawyermerritt', 'our', 'intent', 'pack', 'product', 'experience', 'roughly', 'equivalent', 'nickel', 'amp', 'iron', 'i', 'personally', 'slightly', 'opt', 'iron', 'pack', 'want', 'charge', '100', 'whereas', 'nickel', 'prefers', '90']",2021-08-26,701.16,705.0,0.55%
79,"['no', 'worry', 'situation', 'control', 'https', 'co', 'eukcgrdbpw', 'sciguyspace', 'true', 'jefftutorials', 'thank', 'bring', 'tesla', 'expedite', 'service', 'center', 'opening', 'have', 'try', 'mobile', 'service', 'come', 'wholemarsblog', 'beta', '10', 'come', 'soon', 'robertiger', 'be', 'watch', 'star', 'war', 'bad', 'batch', 'lil', 'baby', 'x', 'wait', 'season', '2', 'soberalmost', 'sciguyspace', 'stop', 'projecting']",2021-08-30,730.91,733.0,0.29%
80,"['http', 'co', 'yut6ltz2b6', 'tryonset', 'alex', 'avoigt', 'just', 'figure', 'regulatory', 'approval', 'process']",2021-08-31,735.72,734.08,-0.22%
81,"['samtwits', 'archillect', 'archillect', 'kristennetten', 'stianwalgermo', 'tesla', 'arkinvest', 'wholemarsblog', 'alex', 'avoigt', 'teslarati', 'teslapodcast', 'mortenlund89', 'i', 'berlin', 'paint', 'shop', 'talk', 'team', 'last', 'visit', 'it', 'gon', 'na', 'great', 'but', 'bear', 'mind', 'take', 'year', 'new', 'factory', 'reach', 'volume', 'production', 'production', 'super', 'hard', 'work', 'i', 'great', 'respect', 'thesheetztweetz', 'they', 'shake', 'fist', 'sky', 'stianwalgermo', 'tesla', 'arkinvest', 'wholemarsblog', 'alex', 'avoigt', 'teslarati', 'teslapodcast', 'mortenlund89', 'kristennetten', 'norway', 'ftw', 'max9907826460', 'teslaratiteam', 'our', 'new', 'crane', 'aarons5', 'ashleevance', '2021', 'year', 'super', 'crazy', 'supply', 'chain', 'shortage', 'matter', '17', 'new', 'product', 'none', 'would', 'ship', 'assume', '2022', 'mega', 'drama', 'new', 'roadster', 'ship', '2023', 'thesheetztweetz', 'thom', 'astro', 'spacex', 'iss', 'research', 'space', 'station', 'great', 'shot', 'thom', 'astro', 'ashleevance', 'maybe', 'zap', 'head', 'space', 'laser', 'djsnm', 'thesheetztweetz', 'johnkrausphotos', 'lylakohistany', 'technically', 'data', 'packet', 'need', 'touch', 'regular', 'internet', 'data', 'flow', 'user', 'terminal', 'satellite', 'user', 'terminal', 'djsnm', 'thesheetztweetz', 'johnkrausphotos', 'lylakohistany', 'our', 'satellite', 'launch', 'next', 'month', 'inter', 'satellite', 'laser', 'link', 'local', 'downlink', 'need', 'probably', 'active', '4', '6', 'month', 'thesheetztweetz', 'file', 'legal', 'action', 'spacex', 'actually', 'full', 'time', 'job', 'http', 'co', 'xifricq62k', 'sciguyspace', 'he', 'consider', 'spend', 'money', 'actual', 'lunar', 'lander', 'hardware', 'instead', 'shady', 'lobbyist']",2021-09-01,734.09,734.5,0.06%
82,"['leastimalive', 'archillect', 'i', 'fkn', 'tryin', 'teslaaibot', 'effinzach', 'ur', 'welcome', 'pls', 'nice', 'human', 'archillect', 'smoke', 'ham', 'dogecoin', 'devs', 'good', 'progress', 'apply', 'information', 'theory', 'currency', 'information', 'low', 'fee', 'reduce', 'noise', 'amp', 'faster', 'amp', 'consistent', 'sync', 'time', 'improve', 'latency', 'amp', 'jitter', 'effinzach', 'the', 'robot', 'come', 'anyway', 'boston', 'dynamic', 'videos', 'clearly', 'show', 'i', 'able', 'ensure', 'robot', 'make', 'company', 'safe', 'i', 'try', 'best', 'tesla', 'thesheetztweetz', 'squawkstreet', 'in', 'general', 'i', 'believe', 'government', 'rarely', 'impose', 'upon', 'people', 'aspire', 'maximize', 'cumulative', 'happiness', 'that', 'say', 'i', 'would', 'prefer', 'stay', 'politics']",2021-09-02,732.39,732.25,-0.02%
